System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QYE++ NPSAR1,2026-01-16,1253993.07,1252316.07,100.03,100.00,1677.00,0.03,5009264.29,0.00,0.00,0.00,0.00
NPSAR1,2026-01-16,1253993.07,1252316.07,100.03,100.00,1677.00,0.03,5009264.29,0.00,0.00,0.00,0.00
QYE++ NPSAR10,2026-01-16,2787768.13,2817711.14,99.73,100.00,-29943.01,-0.27,11270844.56,0.00,0.00,0.00,-0.27
NPSAR10,2026-01-16,2787768.13,2817711.14,99.73,100.00,-29943.01,-0.27,11270844.56,0.00,0.00,0.00,-0.27
QYE++ NPSAR11,2026-01-16,2828944.32,2817711.14,100.10,100.00,11233.18,0.10,11270844.56,0.00,0.00,0.00,0.00
NPSAR11,2026-01-16,2828944.32,2817711.14,100.10,100.00,11233.18,0.10,11270844.56,0.00,0.00,0.00,0.00
QYE++ NPSAR12,2026-01-16,2869661.25,2817711.14,100.46,100.00,51950.11,0.46,11270844.56,0.00,0.00,0.00,0.00
NPSAR12,2026-01-16,2869661.25,2817711.14,100.46,100.00,51950.11,0.46,11270844.56,0.00,0.00,0.00,0.00
QYE++ NPSAR13,2026-01-16,2863232.08,2817711.14,100.40,100.00,45520.94,0.40,11270844.56,0.00,0.00,0.00,0.00
NPSAR13,2026-01-16,2863232.08,2817711.14,100.40,100.00,45520.94,0.40,11270844.56,0.00,0.00,0.00,0.00
QYE++ NPSAR2,2026-01-16,1253993.07,1252316.07,100.03,100.00,1677.00,0.03,5009264.29,0.00,0.00,0.00,0.00
NPSAR2,2026-01-16,1253993.07,1252316.07,100.03,100.00,1677.00,0.03,5009264.29,0.00,0.00,0.00,0.00
QYE++ NPSAR3,2026-01-16,1253993.07,1252316.07,100.03,100.00,1677.00,0.03,5009264.29,0.00,0.00,0.00,0.00
NPSAR3,2026-01-16,1253993.07,1252316.07,100.03,100.00,1677.00,0.03,5009264.29,0.00,0.00,0.00,0.00
QYE++ NPSAR4,2026-01-16,1177372.42,1252316.07,98.50,100.00,-74943.65,-1.50,5009264.29,0.00,0.00,0.00,-1.50
NPSAR4,2026-01-16,1177372.42,1252316.07,98.50,100.00,-74943.65,-1.50,5009264.29,0.00,0.00,0.00,-1.50
QYE++ NPSAR5,2026-01-16,1183652.97,1252316.07,98.63,100.00,-68663.10,-1.37,5009264.29,0.00,0.00,0.00,-1.37
NPSAR5,2026-01-16,1183652.97,1252316.07,98.63,100.00,-68663.10,-1.37,5009264.29,0.00,0.00,0.00,-1.37
QYE++ NPSAR6,2026-01-16,1232791.59,1252316.07,99.61,100.00,-19524.48,-0.39,5009264.29,0.00,0.00,0.00,-0.39
NPSAR6,2026-01-16,1232791.59,1252316.07,99.61,100.00,-19524.48,-0.39,5009264.29,0.00,0.00,0.00,-0.39
QYE++ NPSAR7,2026-01-16,1267506.57,1252316.07,100.30,100.00,15190.50,0.30,5009264.29,0.00,0.00,0.00,0.00
NPSAR7,2026-01-16,1267506.57,1252316.07,100.30,100.00,15190.50,0.30,5009264.29,0.00,0.00,0.00,0.00
QYE++ NPSAR8,2026-01-16,1169188.54,1252316.07,98.34,100.00,-83127.53,-1.66,5009264.29,0.00,0.00,0.00,-1.66
NPSAR8,2026-01-16,1169188.54,1252316.07,98.34,100.00,-83127.53,-1.66,5009264.29,0.00,0.00,0.00,-1.66
QYE++ NPSAR9,2026-01-16,1172791.61,1252316.07,98.41,100.00,-79524.46,-1.59,5009264.29,0.00,0.00,0.00,-1.59
NPSAR9,2026-01-16,1172791.61,1252316.07,98.41,100.00,-79524.46,-1.59,5009264.29,0.00,0.00,0.00,-1.59
QYE++ SPSAR1,2026-01-16,1242464.07,1252316.07,99.80,100.00,-9852.00,-0.20,5009264.29,0.00,0.00,0.00,-0.20
SPSAR1,2026-01-16,1242464.07,1252316.07,99.80,100.00,-9852.00,-0.20,5009264.29,0.00,0.00,0.00,-0.20
QYE++ SPSAR10,2026-01-16,2808676.43,2817711.14,99.92,100.00,-9034.71,-0.08,11270844.56,0.00,0.00,0.00,-0.08
SPSAR10,2026-01-16,2808676.43,2817711.14,99.92,100.00,-9034.71,-0.08,11270844.56,0.00,0.00,0.00,-0.08
QYE++ SPSAR11,2026-01-16,2822202.20,2817711.14,100.04,100.00,4491.06,0.04,11270844.56,0.00,0.00,0.00,0.00
SPSAR11,2026-01-16,2822202.20,2817711.14,100.04,100.00,4491.06,0.04,11270844.56,0.00,0.00,0.00,0.00
QYE++ SPSAR12,2026-01-16,2837825.45,2817711.14,100.18,100.00,20114.31,0.18,11270844.56,0.00,0.00,0.00,0.00
SPSAR12,2026-01-16,2837825.45,2817711.14,100.18,100.00,20114.31,0.18,11270844.56,0.00,0.00,0.00,0.00
QYE++ SPSAR13,2026-01-16,2859934.87,2817711.14,100.37,100.00,42223.73,0.37,11270844.56,0.00,0.00,0.00,0.00
SPSAR13,2026-01-16,2859934.87,2817711.14,100.37,100.00,42223.73,0.37,11270844.56,0.00,0.00,0.00,0.00
QYE++ SPSAR2,2026-01-16,1242464.07,1252316.07,99.80,100.00,-9852.00,-0.20,5009264.29,0.00,0.00,0.00,-0.20
SPSAR2,2026-01-16,1242464.07,1252316.07,99.80,100.00,-9852.00,-0.20,5009264.29,0.00,0.00,0.00,-0.20
QYE++ SPSAR3,2026-01-16,1242464.07,1252316.07,99.80,100.00,-9852.00,-0.20,5009264.29,0.00,0.00,0.00,-0.20
SPSAR3,2026-01-16,1242464.07,1252316.07,99.80,100.00,-9852.00,-0.20,5009264.29,0.00,0.00,0.00,-0.20
QYE++ SPSAR4,2026-01-16,1178396.30,1252316.07,98.52,100.00,-73919.77,-1.48,5009264.29,0.00,0.00,0.00,-1.48
SPSAR4,2026-01-16,1178396.30,1252316.07,98.52,100.00,-73919.77,-1.48,5009264.29,0.00,0.00,0.00,-1.48
QYE++ SPSAR5,2026-01-16,1183372.22,1252316.07,98.62,100.00,-68943.85,-1.38,5009264.29,0.00,0.00,0.00,-1.38
SPSAR5,2026-01-16,1183372.22,1252316.07,98.62,100.00,-68943.85,-1.38,5009264.29,0.00,0.00,0.00,-1.38
QYE++ SPSAR6,2026-01-16,1242270.96,1252316.07,99.80,100.00,-10045.11,-0.20,5009264.29,0.00,0.00,0.00,-0.20
SPSAR6,2026-01-16,1242270.96,1252316.07,99.80,100.00,-10045.11,-0.20,5009264.29,0.00,0.00,0.00,-0.20
QYE++ SPSAR7,2026-01-16,1171510.15,1252316.07,98.39,100.00,-80805.92,-1.61,5009264.29,0.00,0.00,0.00,-1.61
SPSAR7,2026-01-16,1171510.15,1252316.07,98.39,100.00,-80805.92,-1.61,5009264.29,0.00,0.00,0.00,-1.61
QYE++ SPSAR8,2026-01-16,1170355.60,1252316.07,98.36,100.00,-81960.47,-1.64,5009264.29,0.00,0.00,0.00,-1.64
SPSAR8,2026-01-16,1170355.60,1252316.07,98.36,100.00,-81960.47,-1.64,5009264.29,0.00,0.00,0.00,-1.64
QYE++ SPSAR9,2026-01-16,1183372.22,1252316.07,98.62,100.00,-68943.85,-1.38,5009264.29,0.00,0.00,0.00,-1.38
SPSAR9,2026-01-16,1183372.22,1252316.07,98.62,100.00,-68943.85,-1.38,5009264.29,0.00,0.00,0.00,-1.38
QYE++ NLONG1,2026-01-16,-31427.14,0.00,99.16,100.00,-31427.14,-0.84,3756948.19,0.00,0.00,0.00,-0.84
NLONG1,2026-01-16,-31427.14,0.00,99.16,100.00,-31427.14,-0.84,3756948.19,0.00,0.00,0.00,-0.84
QYE++ NLONG10,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
NLONG10,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG11,2026-01-16,-25427.66,0.00,99.32,100.00,-25427.66,-0.68,3756948.19,0.00,0.00,0.00,-0.68
NLONG11,2026-01-16,-25427.66,0.00,99.32,100.00,-25427.66,-0.68,3756948.19,0.00,0.00,0.00,-0.68
QYE++ NLONG12,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
NLONG12,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG13,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
NLONG13,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
